Sample Size,Threshold,ASO,Bootstrap,Mann-Whitney U,Permutation,Student's t,Wilcoxon
5,0.05,0.009333333333333334,0.06,0.032,0.017333333333333333,0.028,0.016
5,0.1,0.021333333333333333,0.10666666666666667,0.05333333333333334,0.06533333333333333,0.06933333333333333,0.072
5,0.2,0.037333333333333336,0.204,0.12533333333333332,0.14,0.16533333333333333,0.12266666666666666
5,0.3,0.07333333333333333,0.2986666666666667,0.22933333333333333,0.24,0.26266666666666666,0.188
5,0.4,0.10933333333333334,0.388,0.308,0.3453333333333333,0.372,0.27066666666666667
5,0.5,0.168,0.452,0.3893333333333333,0.44133333333333336,0.4573333333333333,0.36133333333333334
10,0.05,0.009333333333333334,0.06266666666666666,0.05333333333333334,0.04933333333333333,0.042666666666666665,0.04
10,0.1,0.014666666666666666,0.12666666666666668,0.09866666666666667,0.096,0.104,0.096
10,0.2,0.04,0.23333333333333334,0.20933333333333334,0.20133333333333334,0.208,0.19866666666666666
10,0.3,0.07866666666666666,0.31466666666666665,0.29733333333333334,0.29733333333333334,0.30533333333333335,0.276
10,0.4,0.144,0.38133333333333336,0.4106666666666667,0.376,0.38533333333333336,0.384
10,0.5,0.19866666666666666,0.484,0.48133333333333334,0.48,0.484,0.4493333333333333
15,0.05,0.0026666666666666666,0.048,0.04533333333333334,0.03866666666666667,0.036,0.04
15,0.1,0.008,0.10533333333333333,0.1,0.08266666666666667,0.08533333333333333,0.088
15,0.2,0.02266666666666667,0.23066666666666666,0.20266666666666666,0.20533333333333334,0.208,0.18133333333333335
15,0.3,0.05466666666666667,0.31466666666666665,0.304,0.2986666666666667,0.30133333333333334,0.31066666666666665
15,0.4,0.10933333333333334,0.3893333333333333,0.37466666666666665,0.396,0.3893333333333333,0.4
15,0.5,0.192,0.4706666666666667,0.4746666666666667,0.468,0.468,0.48133333333333334
20,0.05,0.0013333333333333333,0.050666666666666665,0.052,0.042666666666666665,0.042666666666666665,0.050666666666666665
20,0.1,0.005333333333333333,0.10133333333333333,0.104,0.09066666666666667,0.09066666666666667,0.08533333333333333
20,0.2,0.02266666666666667,0.21866666666666668,0.204,0.20666666666666667,0.21333333333333335,0.18133333333333335
20,0.3,0.052,0.308,0.2986666666666667,0.30133333333333334,0.3,0.30266666666666664
20,0.4,0.116,0.39866666666666667,0.4093333333333333,0.4,0.3973333333333333,0.4
20,0.5,0.19333333333333333,0.492,0.49733333333333335,0.49733333333333335,0.49333333333333335,0.48933333333333334
